,Tên tiếng việt,Ngành tiếng việt,Tên tiếng anh,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,Group
51,Kế toán,Kinh doanh và Quản lý,Accountant,1,1,1,"[3.31, 3.94, 3.44, 3.06, 3.88,  1.0,  1.0,  1.0, 2.88,  3.5, 2.94, 2.56,  2.0,
 2.94, 3.69, 3.31,  3.0,  1.0, 2.56, 1.94, 3.12, 1.63, 1.75, 3.94,  1.0, 1.88,
  3.0, 3.06, 3.81, 3.19, 2.94, 1.75, 3.25, 1.12, 3.75]",11
52,Kỹ sư phần cứng,Máy tính và Công nghệ thông tin,Hardware Engineer,2,2,2,"[3.75, 3.88, 3.88, 3.12,  4.0, 2.12,  2.5, 1.88,  3.0, 3.62, 2.88, 1.75, 1.88,
 2.62, 3.25, 3.12, 2.25, 1.75, 3.38,  3.0, 2.62,  2.5, 2.88,  4.0, 2.12, 2.88,
 2.62, 2.75, 3.88, 3.38, 3.38, 2.62, 3.12, 2.62, 3.88]",24
53,Kỹ thuật viên Thú y,Thú y,Veterinarian technician,0,0,1,"[3.12, 3.75, 3.25, 3.12, 3.75, 2.25, 2.12,  1.0, 2.88, 3.12,  3.0, 1.88, 2.38,
 2.75, 2.75, 3.25, 2.62, 2.62,  2.0, 2.88, 2.88, 1.75, 2.38, 3.62, 2.12, 2.88,
 3.12, 3.12, 3.62, 2.75, 2.62, 1.88,  3.0,  2.5, 3.25]",1
54,Luật sư,Pháp luật,Lawyer,2,2,2,"[3.88, 4.62, 4.12, 3.38, 4.25,  1.0,  1.0,  1.0, 3.12, 4.12,  3.0, 2.25,  2.0,
 2.88, 2.12, 3.62,  4.0, 1.38, 2.62, 1.62,  4.0,  1.5, 1.12, 4.38,  1.0, 1.62,
 3.12, 3.75, 4.62,  3.5,  3.0, 1.88, 3.88,  1.0,  4.0]",24
55,Lễ tân,,Receptionists,1,0,0,"[ 3.0, 3.62,  2.5, 3.12, 3.25,  1.0,  1.0,  1.0, 2.75, 2.38, 2.38, 1.75,  1.5,
 2.25, 2.12, 2.75, 2.38,  1.0, 1.12, 1.38,  2.5, 1.38, 1.75, 3.25,  1.0,  1.0,
  3.5, 3.12, 3.62, 2.38, 2.25, 1.38, 2.88, 1.38, 3.25]",7
56,Nghệ sĩ Mỹ thuật,Năng khiếu nghệ thuật,Fine Artists,1,1,1,"[3.25, 3.12, 2.88,  2.5, 3.25,  1.0,  2.0,  1.0, 1.75,  3.0, 2.38,  2.0, 1.88,
 1.75, 2.12, 2.75,  2.0, 2.12, 2.62, 2.38, 2.38, 1.62, 2.38,  3.0,  1.0,  1.0,
  2.5, 2.88,  3.0, 2.25, 2.12, 1.62, 2.88, 1.88, 2.88]",11
57,Nha sĩ,Chăm sóc sức khỏe,Dentist,2,2,2,"[3.88,  4.0,  4.0, 3.75, 4.12,  1.5, 2.38, 1.25, 3.25, 4.12, 3.12,  3.0,  3.0,
  3.5, 2.75,  4.0, 3.12, 2.88, 2.38, 2.75, 3.75, 1.62, 2.75,  4.0, 1.38, 3.75,
 3.88, 3.88,  4.0, 2.88, 2.75,  2.0, 3.88,  2.0, 3.25]",24
58,Nhà Quản trị cơ sở dữ liệu và mạng máy tính,Máy tính và Công nghệ thông tin,Network administrators,2,2,2,"[3.12, 3.75, 3.75,  3.0, 3.88,  3.0, 2.88, 2.38, 2.88, 3.88, 2.75,  2.0, 2.75,
  3.0,  3.0, 3.75,  2.5,  3.0, 3.12, 3.38, 2.75, 3.62, 3.25, 3.88,  3.0, 2.25,
  3.0,  3.0, 3.38, 3.88, 3.75, 2.75, 3.12, 3.75, 3.12]",24
59,Nhà báo,Báo chí – Thông tin – Truyền thông,Journalist,0,0,1,"[ 3.5, 4.12, 3.25, 3.19, 3.81,  1.0, 1.06,  1.0, 2.31, 3.06, 2.37, 1.69, 1.69,
 2.69, 1.81, 3.44, 2.94, 1.81, 2.06, 1.81,  3.0, 1.63,  1.5, 4.12,  1.0, 1.06,
 2.69, 3.75, 4.12, 2.44, 2.25,  1.5, 3.44, 1.06, 4.12]",1
60,Nhà hoá học,Khoa học tự nhiên,Chemist,1,0,2,"[3.38, 3.88, 3.75,  3.0,  4.0,  3.0, 2.62,  1.0,  3.0, 3.12, 2.88, 2.12, 2.38,
 2.88, 3.88, 3.25, 2.25, 2.38,  2.5,  3.0, 2.62, 2.12, 3.38,  4.0, 2.38, 4.25,
 2.75,  3.0,  3.5, 3.12, 3.25, 1.88, 2.88, 2.75, 3.62]",9
61,Nhà kinh tế học,Khoa học xã hội và hành vi,Economist,2,2,2,"[3.88,  4.0, 3.88,  3.0, 4.12,  1.0,  1.0,  1.0,  3.5,  4.0, 3.12, 1.88, 1.88,
 2.62, 4.12, 3.12, 2.38,  1.0, 2.75, 1.62,  3.0,  2.0, 1.25, 4.12,  1.0,  2.0,
  3.0, 2.88,  4.0, 3.38, 3.25, 1.38,  3.0,  1.0,  4.0]",24
62,Nhà nghiên cứu khoa học xã hội,Khoa học xã hội và hành vi,Social Scientist,2,1,1,"[3.12, 3.75, 3.38, 2.88, 3.75,  1.0, 1.38,  1.0, 2.62, 3.12,  3.0, 1.75,  2.0,
 2.38, 3.12, 2.88, 2.38, 1.62,  2.0, 2.12,  2.5, 2.62,  2.5,  4.0,  1.0, 3.25,
 2.38, 2.88, 3.38,  3.0, 2.88, 1.75, 2.88, 1.75, 3.75]",20
63,Nhà ngôn ngữ học,Khoa học Nhân văn,Language Specialist,2,1,2,"[3.12,  4.0,  3.0,  3.0, 3.62,  1.0,  1.0,  1.0,  3.0, 3.12,  3.0, 1.25, 1.25,
 2.75,  2.0, 3.62, 2.38,  1.0, 1.62,  2.0, 2.88, 1.12,  2.0, 3.88,  1.0, 1.12,
 3.12, 3.12, 4.12, 2.12, 2.12, 1.88,  3.0, 1.25, 3.75]",21
64,Nhà nhiếp ảnh,Năng khiếu nghệ thuật,Photographers,1,0,0,"[3.12, 3.75, 3.12,  3.0, 3.12, 1.88, 2.25, 1.38, 2.88, 3.12, 2.88, 1.62, 1.88,
 2.75,  2.0, 3.12, 2.75, 2.25, 2.75, 2.62, 2.88, 1.62,  2.5, 3.12,  1.5, 1.75,
 3.25, 3.12, 3.75,  2.5, 2.38, 1.88,  3.0, 2.12, 2.88]",7
65,Nhà sinh vật học,Khoa học sự sống,Biologist,2,0,2,"[3.88,  4.0, 3.88, 3.12,  4.0,  1.0, 1.25,  1.0, 3.25, 3.62, 3.12, 1.75, 1.88,
 3.12, 3.75, 3.38, 2.62, 1.62, 1.75, 2.25, 2.75, 2.75,  2.5,  4.0,  1.0, 4.62,
 2.62, 3.25,  4.0, 3.12,  3.0, 1.75,  3.0, 1.75,  4.0]",18
66,Nhà sử học,Khoa học Nhân văn,Historian,1,2,2,"[3.75,  4.0, 3.12,  3.0, 4.12,  1.0,  1.0,  1.0, 3.25, 3.12,  3.0,  1.5, 1.62,
 2.88, 1.75,  3.0, 2.25,  1.0,  2.0,  1.5, 2.75, 1.25, 1.38, 4.75,  1.0, 2.62,
 2.38, 3.38, 3.88, 2.25, 2.25, 1.38, 2.88,  1.0,  4.0]",15
67,Nhà thiết kế sản phẩm/ Mỹ thuật công nghiệp,Kiến trúc và xây dựng,Industrial Designer,2,2,0,"[ 3.0,  4.0, 3.75, 3.12, 3.75,  1.0, 1.88,  1.0, 2.75, 3.25, 2.75,  2.0,  2.0,
 2.75, 2.75, 3.12, 2.88,  2.0, 3.25, 2.38, 3.12, 1.88, 2.75, 3.88,  1.0, 2.62,
 2.88, 3.12,  3.5,  3.0,  3.0, 3.12, 3.25, 1.75, 3.12]",22
68,Nhà thiết kế thời trang,Năng khiếu nghệ thuật,Fashion Designers,1,0,0,"[3.88,  4.0, 3.75, 3.88,  4.0,  1.0, 1.62,  1.0,  3.5, 3.88, 3.12, 2.88, 2.75,
 3.75, 2.25, 3.62, 3.62,  1.0, 3.38, 2.25, 3.62, 1.38,  2.5, 3.75,  1.0, 1.12,
 3.62, 3.88, 3.88, 3.25, 3.12, 1.75, 3.75, 1.62,  3.5]",7
69,Nhà thiết kế và trang trí nội thất,Năng khiếu nghệ thuật,Interior Designer and Decorator,0,1,1,"[3.12,  4.0,  3.5,  3.5,  4.0,  1.0, 1.12,  1.0,  3.0, 3.25, 2.88, 2.75, 2.75,
 2.88,  3.0, 3.12, 3.38,  1.5, 3.38, 1.88,  3.5, 1.75, 2.12,  4.0,  1.0, 1.38,
 3.75, 3.75,  4.0, 2.88,  2.5, 1.88, 3.12, 1.88, 3.62]",4
70,Nhà thiết kế đồ họa và truyền thông đa phương tiện,Năng khiếu nghệ thuật,Graphic and Multi Media Designer,2,2,0,"[3.12, 3.62,  3.0,  3.0, 3.38,  1.0, 1.25,  1.0, 2.62, 3.12, 2.62, 1.88, 1.88,
 2.38,  2.0,  3.0, 2.88, 1.25, 3.12, 1.88, 2.88, 1.62,  2.0, 3.25,  1.0, 1.25,
 2.88, 3.12, 3.38, 2.75,  2.5,  2.0, 3.12,  1.0,  3.0]",22
71,Nhà thống kê,Toán và Thống kê,Statistician,2,2,2,"[3.62, 3.88, 3.88, 2.88, 4.12,  1.0,  1.0,  1.0, 2.88, 3.25,  3.0, 1.75, 1.75,
 2.25, 4.75, 2.88, 1.88, 1.25, 2.75,  1.5, 2.62,  3.0, 1.75,  4.0,  1.0,  3.5,
 2.38, 2.75, 3.75,  3.0,  3.0, 1.75,  3.0,  1.0,  3.5]",24
72,Nhà toán học,Toán và Thống kê,Mathematician,2,2,2,"[ 4.0, 3.38, 4.12, 2.75, 4.25,  1.0,  1.0,  1.0, 3.12,  3.5, 3.38, 1.62, 1.62,
 2.25,  5.0,  3.0, 1.88,  1.0,  2.5, 1.62, 2.62,  2.5,  1.5,  4.0,  1.0, 3.62,
 1.88, 2.75, 3.38, 3.25, 3.12, 1.62, 2.75,  1.0,  3.5]",24
73,Nhà trắc địa bản đồ,Kỹ thuật,Cartographers and Surveyors,1,2,0,"[3.38, 3.88, 3.75,  3.0, 3.88, 1.88,  2.0,  1.0,  3.0, 3.62,  3.0, 1.75, 1.75,
 2.75, 4.12, 3.38,  2.0, 2.75, 1.88, 2.75, 2.25, 2.38, 2.88,  4.0, 1.88, 3.12,
 2.75, 2.75, 3.38, 3.12, 3.12, 1.75, 2.88, 1.88, 3.62]",13
74,Nhà tâm lí học,Khoa học xã hội và hành vi,Psychologist,2,2,2,"[3.66, 4.34, 3.79, 3.54, 4.13,  1.0, 1.08,  1.0, 3.25, 3.87, 3.46, 1.71, 1.71,
 2.87, 2.79, 3.92, 3.17, 1.04, 2.21, 1.79,  3.5, 2.04, 1.67, 4.33,  1.0, 2.67,
 3.54, 4.04, 4.21, 3.33, 3.29, 1.66, 3.42, 1.04,  4.0]",24
75,Nhà tư vấn nghề nghiệp,Khoa học xã hội và hành vi,Career Counsellor,2,2,1,"[3.88, 4.38, 3.88, 3.88,  4.0,  1.0,  1.0,  1.0, 3.88, 3.88, 3.75,  1.5,  1.5,
  3.0, 2.12, 3.75, 3.75,  1.0, 1.12, 1.88, 3.88, 1.75, 1.12, 4.12,  1.0, 1.62,
 4.12, 4.25, 4.25, 3.25, 3.12, 1.75, 3.38,  1.0,  4.0]",23
76,Nhà tư vấn tâm lí,Khoa học xã hội và hành vi,Counsellor,0,0,1,"[ 3.5, 4.75, 3.62, 3.25, 3.75,  1.0,  1.0,  1.0, 3.12, 3.88, 3.25, 1.62, 1.62,
 2.88,  2.0, 3.88, 3.12,  1.0, 2.75, 1.62,  3.5, 1.62, 1.88, 4.12,  1.0, 2.88,
  4.0, 4.88, 4.25, 3.12, 3.25, 1.62,  3.0,  1.0,  4.0]",1
77,Nhân viên bán hàng,Kinh doanh và Quản lý,Marketing and Sales Assistant,1,0,0,"[2.75, 3.75,  3.0, 2.75, 3.12, 1.62,  1.0,  1.0, 2.12, 2.88,  2.0, 1.75, 1.75,
  2.0, 2.62, 2.88, 2.75, 2.75, 1.12,  2.5, 2.88,  1.0,  2.0,  3.0, 1.25,  1.0,
 3.12,  3.0, 3.62,  2.0,  2.0, 1.38,  3.0,  2.0, 2.75]",7
78,Nhân viên công tác xã hội,Dịch vụ xã hội,Social Worker,0,0,0,"[3.38, 4.88, 3.88, 3.75, 4.12,  1.0,  1.0,  1.0, 3.12,  4.0, 3.12, 1.38, 1.38,
 2.88,  2.0, 3.88, 3.75,  2.0, 2.62, 2.12, 3.75, 1.38, 1.75,  4.0,  1.0, 2.25,
  4.0, 4.12,  4.5, 3.12, 2.88,  1.5, 3.75,  1.5, 3.75]",0
79,Nhân viên giao dịch ngân hàng,Kinh doanh và Quản lý,Bank Teller and Related Clerks,1,1,0,"[2.88,  3.5, 2.88, 2.88, 3.12,  1.0,  1.0,  1.0, 2.88, 2.88, 2.25, 1.62,  1.5,
 2.38,  3.0, 3.12,  2.5,  2.0, 1.12,  2.0, 2.75, 1.25, 1.88, 3.12,  1.0,  1.0,
 3.12, 3.12, 3.25, 2.12, 2.38, 1.38,  3.0,  1.5,  3.0]",10
80,Nhân viên marketing,Kinh doanh và Quản lý,Marketing Assistant,1,0,0,"[2.75, 3.75,  3.0, 2.75, 3.12, 1.62,  1.0,  1.0, 2.12, 2.88,  2.0, 1.75, 1.75,
  2.0, 2.62, 2.88, 2.75, 2.75, 1.12,  2.5, 2.88,  1.0,  2.0,  3.0, 1.25,  1.0,
 3.12,  3.0, 3.62,  2.0,  2.0, 1.38,  3.0,  2.0, 2.75]",7
81,Nhân viên văn phòng,Kinh doanh và Quản lý,Office clerk,1,0,0,"[2.75, 3.75, 2.62,  3.0,  3.0,  1.0,  1.0,  1.0, 2.75, 2.75, 2.12, 1.62, 1.88,
 2.12, 2.12, 2.88, 2.62, 1.38, 1.12, 2.12, 2.62, 1.25, 1.75, 3.75,  1.0,  1.0,
  3.0,  3.0, 3.62,  2.0,  2.0, 1.38,  3.0,  1.5, 3.12]",7
82,Phi công,,Pilot,1,2,2,"[ 3.5, 3.79, 3.46, 3.42, 3.83, 2.16, 1.58, 1.13, 3.04, 3.71, 3.04, 1.91, 2.17,
 2.96, 2.75, 3.87, 2.63, 4.37, 1.83, 4.04, 2.83, 1.67, 2.95, 3.58, 1.79,  2.5,
 2.88, 3.12, 3.62, 3.04, 2.83, 1.75, 3.33,  3.0, 3.04]",15
83,Phiên dịch,Khoa học Nhân văn,Interpreter,1,0,1,"[3.12,  4.0,  3.0,  3.0, 3.62,  1.0,  1.0,  1.0,  3.0, 3.12,  3.0, 1.25, 1.25,
 2.75,  2.0, 3.62, 2.38,  1.0, 1.62,  2.0, 2.88, 1.12,  2.0, 3.88,  1.0, 1.12,
 3.12, 3.12, 4.12, 2.12, 2.12, 1.88,  3.0, 1.25, 3.75]",8
84,Quản lí bán hàng,Kinh doanh và Quản lý,Sales Manager,1,2,2,"[3.75,  4.0, 3.75, 3.88, 3.88,  1.0,  1.0,  1.0, 3.62, 3.75, 3.25,  3.0, 2.88,
 3.75,  3.0, 3.75, 3.88, 1.75, 2.62, 1.75, 4.12, 1.62, 1.75, 3.88,  1.0, 1.62,
 3.88, 3.88,  4.0, 3.62, 3.62, 1.75,  3.5,  1.0, 3.62]",15
85,"Quản lí khách sạn, nhà hàng","Du lịch, khách sạn, thể thao và dịch vụ cá nhân",Hotel Manager,0,1,2,"[3.75, 4.12, 3.75, 3.88, 3.75, 1.38, 1.38,  1.0, 3.75, 3.75, 3.38, 2.88,  3.0,
  4.0, 2.62, 3.75, 3.88, 2.12, 1.75, 2.38, 3.75, 1.62, 2.62, 3.88, 1.38,  1.0,
 4.12,  4.0,  4.0, 3.12, 3.38, 1.88, 3.75, 1.88, 3.88]",5
86,Quản lí marketing,Kinh doanh và Quản lý,Marketing Manager,2,2,2,"[3.88, 3.88, 3.62,  3.5, 3.88,  1.0,  1.0,  1.0,  3.0, 3.75, 3.12, 2.88, 2.62,
 3.38, 2.75, 3.75, 3.62,  1.0, 3.38, 1.75, 3.75, 1.88, 1.88, 3.88,  1.0, 1.75,
 3.12, 3.88, 3.88, 3.25,  3.5, 1.75,  3.5,  1.0, 3.25]",24
87,Quản lí nhân sự,Kinh doanh và Quản lý,Human Resource Manager,2,2,2,"[3.75, 4.12, 3.88, 3.88, 3.75,  1.0,  1.0,  1.0, 3.38,  4.0, 3.25, 2.88, 2.38,
 4.12, 2.62, 3.62, 3.88, 1.25, 2.25, 1.75, 3.62, 1.75, 1.62,  4.0,  1.0, 1.62,
 3.38, 3.88, 4.12, 3.62, 3.75, 1.75, 3.62,  1.0, 3.88]",24
88,Quản lí nông nghiệp,"Nông, Lâm nghiệp, Thủy sản",Agriculture Manager,0,1,2,"[3.29, 3.58, 3.42,  3.5, 3.88, 2.13, 2.21, 1.08, 3.21, 3.75, 3.04, 2.88, 2.83,
  3.5, 2.71, 3.79, 3.25, 2.87, 2.37, 3.13, 3.25, 1.63, 2.96, 3.46, 2.08, 2.88,
 2.87, 3.33, 3.87, 3.08, 3.16, 1.75, 3.63, 2.38, 3.17]",5
89,Thư kí hành chính,Kinh doanh và Quản lý,Secretary,2,1,0,"[2.88,  4.0, 2.88, 3.12,  3.0,  1.0,  1.0,  1.0, 2.12,  3.0, 2.12, 1.62, 1.75,
 2.62,  2.0, 3.12, 2.38, 1.25, 1.88, 1.88, 2.25, 1.62, 1.88, 3.88,  1.0,  1.0,
  3.5,  3.0,  4.0,  2.0,  2.0,  1.5,  3.5,  1.0, 3.75]",19
90,Thợ thẩm mĩ (Làm đẹp),,Cosmetologist,0,0,0,"[3.25, 3.88, 3.0, 2.88, 3.38, 1.38, 1.75, 1.0, 2.88, 3.25, 2.88, 1.5, 1.88, 2.5, 2.38, 3.0, 2.75, 1.38, 2.5, 2.0, 2.88, 1.38, 1.62, 3.0, 1.0, 1.62, 3.62, 3.12, 3.75, 2.25, 2.25, 1.75, 3.0, 1.5, 2.88]",0
91,Thợ vận hành máy sản xuất hàng dệt may và da giày,,Textile machine operator,0,0,0,"[2.25,  3.0, 2.53, 2.75, 2.94, 2.66, 2.37, 1.59, 2.19, 2.75, 2.06, 1.66, 1.66,
 2.28, 2.06, 3.09, 1.91, 3.28, 1.84, 3.59, 1.94, 1.19, 3.03, 2.62, 2.56, 1.25,
 2.06, 2.56,  3.0, 2.16, 2.09, 1.47, 2.69, 2.75, 2.41]",0
92,Thợ đường ống,,Plumbers and Pipe Fitters,1,2,0,"[2.62, 2.88,  3.0,  3.0,  3.5, 2.62, 2.75, 2.75, 2.62, 3.25, 2.38, 1.88, 1.88,
  2.5, 2.62, 3.12,  2.0,  3.0, 1.75,  3.0, 2.25,  1.5, 2.75, 2.88, 3.25, 1.75,
 2.75, 2.75,  3.0, 2.88, 2.88, 1.88,  3.0, 3.25, 2.75]",13
93,Thủ quỹ,Kinh doanh và Quản lý,Treasurer,2,2,2,"[3.62, 3.88, 4.12, 3.38, 4.12,  1.0,  1.0,  1.0, 2.88, 4.12,  3.0,  4.0, 2.75,
 3.12, 3.75, 3.88, 3.12, 1.12, 2.62, 1.88,  3.0, 1.62, 1.88, 4.12,  1.0, 1.25,
 2.75, 3.12,  4.0, 3.25, 3.62, 1.62, 3.38,  1.0, 3.62]",24
94,Thủ thư và nhân viên thư viện,Báo chí – Thông tin – Truyền thông,Librarian and Library Clerk,2,0,1,"[3.25, 3.88,  3.0, 2.88, 3.62, 1.12, 1.12, 1.12, 3.12, 3.12, 2.88, 2.25, 2.75,
 2.62,  2.0, 3.38,  2.5, 1.12, 1.88, 1.75, 2.62,  2.0, 1.38, 3.88,  1.0, 1.12,
 3.38, 3.25, 3.88, 2.25, 2.38, 1.62, 3.12, 1.25, 3.62]",17
95,Tiếp viên hàng không hoặc tiếp viên trên phương tiện vận tải,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân",Flight Attendants,1,1,0,"[3.12, 3.88, 2.88, 3.62, 3.12,  1.0,  1.0,  1.0, 2.88,  3.0, 2.75, 1.88, 1.88,
  2.5,  2.0, 3.88, 2.88,  2.0, 1.62, 2.38,  3.0, 1.38, 2.12, 3.12,  1.0, 1.38,
 3.75, 3.75, 4.12,  2.0,  2.0, 1.75, 3.12,  2.0,  3.0]",10
96,Y tá,Chăm sóc sức khỏe,Nurse ,0,2,1,"[3.68, 4.03, 3.63, 3.85, 3.95,  1.0, 1.48, 1.05, 3.35,  3.8, 3.25, 1.87,  2.0,
 2.88, 2.78,  3.9, 3.07,  2.3, 2.05,  2.8, 3.08, 1.55, 2.28, 3.93, 1.02, 2.85,
  4.0, 4.07, 3.98, 3.05, 2.98,  1.8, 3.35, 1.75, 3.55]",6
97,Đại lí bảo hiểm,Kinh doanh và Quản lý,Insurance Agent,1,1,0,"[ 3.0, 3.88, 2.88,  3.0, 3.75,  1.0,  1.0,  1.0, 2.62,  3.0, 2.75, 1.25, 1.12,
  2.0,  3.0, 2.88, 3.25, 1.75, 1.88, 1.75, 3.62, 1.75, 1.12,  4.0,  1.0, 1.12,
 3.38, 3.12, 3.88, 2.75, 2.75, 1.75,  3.5,  1.0, 3.62]",10
98,Đại lí du lịch và lữ hành,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân",Travel and Tourism Agent,1,0,0,"[3.12, 4.12,  3.0, 3.12, 3.12,  1.0, 1.12,  1.0, 2.62, 3.38,  2.5, 2.12, 1.75,
 1.88, 2.88,  3.0, 3.12, 1.62, 1.75, 1.75, 3.62, 1.75, 1.25,  4.0,  1.0, 1.25,
 4.12, 3.75,  4.0, 2.38, 2.25, 1.75,  3.0,  1.0, 3.12]",7
99,"Đạo diễn phim, sân khấu",Năng khiếu nghệ thuật,Director: Film/ Stage,2,2,2,"[3.25, 4.38, 3.38, 3.88,  4.0,  1.0, 1.75,  1.0, 2.88,  3.5, 3.12,  3.0, 2.75,
 3.62,  2.5,  4.0, 3.25, 1.88, 2.12, 2.25,  3.0, 1.75,  2.5,  4.0,  1.0, 1.12,
  3.0, 3.88,  4.0,  3.5, 3.25,  2.0, 3.62, 1.75, 3.75]",24
100,Đầu bếp,,Cook,0,0,0,"[3.12, 3.75, 3.25,  4.0, 3.75,  2.0, 2.12,  1.0, 3.25, 3.62, 3.12,  3.0, 3.12,
 3.62, 3.12, 3.88, 3.25, 2.25,  2.5,  3.0, 3.12,  1.5, 3.25, 3.12, 1.88, 1.62,
 3.38, 3.62, 3.88,  3.0, 2.88, 1.75, 3.88,  2.0, 3.12]",0
